"NTC R/T Calculation 5.0"
"Type";"= 0603";" ";"Ordering code";"= 'B57321V2103J060'"
"R/T characteristic";"= 8502";" ";"B(25/100)";"= 4000 [K] ± 3.0%"
"R at 25°C";"= 10000 [Ohm]";" ";"R nom at 25°C";"= 10000 [Ohm] ± 5.0%"
" "
"T[°C]";"R nom[Ohm]";"R min[Ohm]";"R max[Ohm]";"deltaR/R [+-%]";"deltaT [+-°C]";"alpha [%K]"
"-55";"961580";"771090";"1152100";"19.8";"2.7";"7.4"
"-50";"668920";"544650";"793180";"18.6";"2.6";"7.1"
"-45";"471270";"389270";"553260";"17.4";"2.5";"6.9"
"-40";"336060";"281380";"390740";"16.3";"2.4";"6.6"
"-35";"242430";"205600";"279250";"15.2";"2.4";"6.4"
"-30";"176810";"151790";"201840";"14.2";"2.3";"6.2"
"-25";"130320";"113170";"147470";"13.2";"2.2";"6.0"
"-20";"97020";"85179";"108860";"12.2";"2.1";"5.8"
"-15";"72923";"64693";"81153";"11.3";"2.0";"5.6"
"-10";"55314";"49560";"61068";"10.4";"1.9";"5.4"
"-5";"42325";"38282";"46368";"9.6";"1.8";"5.3"
"0";"32657";"29805";"35510";"8.7";"1.7";"5.1"
"5";"25400";"23382";"27418";"7.9";"1.6";"4.9"
"10";"19907";"18477";"21336";"7.2";"1.5";"4.8"
"15";"15716";"14703";"16729";"6.4";"1.4";"4.7"
"20";"12494";"11778";"13211";"5.7";"1.3";"4.5"
"25";"10000";"9500.0";"10500";"5.0";"1.1";"4.4"
"30";"8055.2";"7595.0";"8515.5";"5.7";"1.3";"4.3"
"35";"6528.8";"6113.8";"6943.7";"6.4";"1.5";"4.1"
"40";"5322.9";"4951.5";"5694.3";"7.0";"1.7";"4.0"
"45";"4364.5";"4033.6";"4695.3";"7.6";"1.9";"3.9"
"50";"3598.1";"3304.4";"3891.9";"8.2";"2.1";"3.8"
"55";"2981.9";"2721.6";"3242.2";"8.7";"2.4";"3.7"
"60";"2483.7";"2253.3";"2714.2";"9.3";"2.6";"3.6"
"65";"2078.7";"1874.8";"2282.7";"9.8";"2.8";"3.5"
"70";"1747.9";"1567.4";"1928.4";"10.3";"3.0";"3.4"
"75";"1476.3";"1316.4";"1636.2";"10.8";"3.2";"3.3"
"80";"1252.3";"1110.6";"1394.1";"11.3";"3.5";"3.2"
"85";"1066.7";"940.93";"1192.5";"11.8";"3.7";"3.2"
"90";"912.27";"800.48";"1024.1";"12.3";"4.0";"3.1"
"95";"783.19";"683.71";"882.68";"12.7";"4.2";"3.0"
"100";"674.88";"586.20";"763.56";"13.1";"4.5";"2.9"
"105";"583.63";"504.46";"662.80";"13.6";"4.7";"2.9"
"110";"506.47";"435.67";"577.27";"14.0";"5.0";"2.8"
"115";"440.98";"377.56";"504.40";"14.4";"5.3";"2.7"
"120";"385.20";"328.28";"442.11";"14.8";"5.5";"2.7"
"125";"337.52";"286.36";"388.68";"15.2";"5.8";"2.6"
